,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
54,reckoner_TRA.rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.reckoner.sh,18,3522,741,1195,11,96,41,11,5606,8908,548038,2310,32,1103,358,62,0,560811,Reckoner,1,100,0.794080941344,0.859099238114,0.663843822428,0.993108195096,TRA,0.000110554179572,0.0
56,sga_TRA.rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.sga.sh,18,2799,747,1960,6,92,2,1,5606,7625,548970,3604,21,376,6,3,0,560605,Sga,1,100,0.679045329059,0.952291744723,0.645026271262,0.992847013494,TRA,5.35136147555e-06,0.0
58,coral_TRA.rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.coral.sh,18,10090,3231,1672,10,274,693,17,15970,20281,1173292,3729,16,381,712,14,6,1198431,Coral,2,75,0.84468971262,0.948863104707,0.799167013744,0.995951352817,TRA,1.66884868632e-05,0.428571428571
61,bfc_TRA.rep.seq_sim_rl_50_cov_4_1_18.corrected.fastq.gz,run.bfc.sh,18,9771,16976,20264,37,1285,1,1,48334,17442,2365037,31198,96,2926,1,1,0,2416701,Bfc,4,50,0.35859375,0.856301242084,0.298416940789,0.985839373592,TRA,4.13787224816e-07,0.0
62,bfc_TRA.rep.seq_sim_rl_75_cov_4_1_18.corrected.fastq.gz,run.bfc.sh,18,4803,7086,19948,9,520,2,0,32368,10633,2378057,37766,23,1119,4,0,0,2427602,Bfc,4,75,0.21969462179,0.90447431099,0.196491663051,0.98397101337,TRA,0.0,
64,coral_TRA.rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.coral.sh,18,5019,1667,1074,10,201,121,4,8092,9960,594367,2288,11,248,131,3,1,607009,Coral,1,75,0.813193990856,0.963342683045,0.782250163292,0.995583254257,TRA,6.58968812654e-06,0.333333333333
69,bless_TRA.rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.bless.sh,18,18720,3724,1186,7,505,78,1952,24220,44304,2310828,2078,72,2787,739,59321,2108,2422237,Bless,4,100,0.955198137208,0.926280577044,0.879177267043,0.973143167162,TRA,0.0253604416083,0.0355354764754
71,fiona_TRA.rep.seq_sim_rl_75_cov_2_1_405000.corrected.fastq.gz,run.fiona.sh,18,0,3458,12512,0,0,0,0,15970,0,1173718,24032,0,0,0,0,0,1197750,Fiona,2,50,0.0,,0.0,0.979935712795,TRA,0.0,
73,racer_TRA.rep.seq_sim_rl_50_cov_1_1_405000.corrected.fastq,run.racer.sh,18,5691,3646,745,1,271,34,17,10388,9222,507477,1122,32,1390,237,79,1,519560,Racer,1,50,0.891531322506,0.850032261038,0.734242072699,0.994495331618,TRA,0.000153976441604,0.0126582278481
76,lighter_TRA.rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.lighter.sh,18,0,3458,12512,0,0,0,0,15970,0,1173718,24032,0,0,0,0,0,1197750,Lighter,2,75,0.0,,0.0,0.979935712795,TRA,0.0,
