,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitiviy,Base Precision,Base Gain,Base Accuracy,Base TP TRIM %,Base FP TRIM %,Dataset,Trim Percent
1409,coral_TRA.rep.seq_sim_rl_100_cov_1_1_20.corrected.fastq.gz,run.coral.sh,20,3440,694,967,3,223,279,7,5606,8957,549026,2284,7,303,459,6,2,561044,Coral,1,100,0.796815229962,0.921596872106,0.729027666578,0.994547645274,0.25,0.75,TRA,1.42591311911e-05
1410,coral_TRA.rep.seq_sim_rl_50_cov_4_1_24.corrected.fastq.gz,run.coral.sh,24,20149,16927,9822,20,691,725,50,48334,29792,2367120,18905,25,791,785,38,14,2417470,Coral,4,50,0.611783066719,0.949757714869,0.579419676777,0.991501810167,0.269230769231,0.730769230769,TRA,2.15100911283e-05
1411,coral_TRA.rep.seq_sim_rl_100_cov_2_1_19.corrected.fastq.gz,run.coral.sh,19,3849,710,697,4,186,393,6,5839,9925,572035,1669,6,246,400,5,2,584288,Coral,2,100,0.856046230809,0.938889414436,0.800327755736,0.996019072851,0.285714285714,0.714285714286,TRA,1.19803932307e-05
1412,coral_TRA.rep.seq_sim_rl_100_cov_32_1_20.corrected.fastq.gz,run.coral.sh,20,51,17,3,0,0,73,51,144,154,10360,31,64,2359,2359,537,11,15875,Coral,32,100,0.832432432432,0.0316091954023,-24.6702702703,0.662758446798,0.0200729927007,0.979927007299,TRA,0.0345196850394
1413,coral_TRA.rep.seq_sim_rl_100_cov_64_1_20.corrected.fastq.gz,run.coral.sh,20,1258,750,3784,0,49,64,2,5905,7444,578704,4297,0,52,66,1,1,590565,Coral,64,100,0.634017545354,0.984395662523,0.623967294098,0.992522402314,0.5,0.5,TRA,3.38658742052e-06
1414,fiona_TRA.rep.seq_sim_rl_100_cov_32_1_405000.corrected.fastq.gz,run.fiona.sh,20,9,17,31,12,3,72,44,144,104,10347,73,73,2371,2364,514,10,15856,Fiona,32,50,0.587570621469,0.0214920438107,-26.1638418079,0.659535529471,0.0190839694656,0.980916030534,TRA,0.0330474268416
1415,coral_TRA.rep.seq_sim_rl_100_cov_2_1_21.corrected.fastq.gz,run.coral.sh,21,1458,273,240,0,47,167,3,2185,3699,214096,604,1,88,171,4,0,218663,Coral,2,100,0.859632814316,0.934562910561,0.799442249593,0.996030421242,0.0,1.0,TRA,1.8292989669e-05
1416,coral_TRA.rep.seq_sim_rl_100_cov_64_1_21.corrected.fastq.gz,run.coral.sh,21,309,307,1845,0,15,31,0,2507,3149,245506,2030,0,15,32,0,0,250732,Coral,64,100,0.608032438695,0.985294117647,0.598957327669,0.991716254806,,,TRA,0.0
1417,coral_TRA.rep.seq_sim_rl_100_cov_8_1_21.corrected.fastq.gz,run.coral.sh,21,11,6,1,0,0,18,10,36,33,2613,14,16,596,592,70,1,3935,Coral,8,100,0.702127659574,0.027027027027,-24.5744680851,0.672597864769,0.0140845070423,0.985915492958,TRA,0.018043202033
1418,coral_TRA.rep.seq_sim_rl_100_cov_16_1_21.corrected.fastq.gz,run.coral.sh,21,3036,568,678,1,7,46,9,4336,7484,424924,1173,1,8,46,8,2,433646,Coral,16,100,0.864502714566,0.9928362961,0.858264987871,0.997149735728,0.2,0.8,TRA,2.30602841949e-05
1419,fiona_TRA.rep.seq_sim_rl_100_cov_1_1_405000.corrected.fastq.gz,run.fiona.sh,20,0,758,4848,0,0,0,0,5606,0,549350,11250,0,0,0,0,0,560600,Fiona,1,50,0.0,,0.0,0.979932215483,,,TRA,0.0
1420,coral_TRA.rep.seq_sim_rl_75_cov_2_1_21.corrected.fastq.gz,run.coral.sh,21,8427,2562,1218,10,274,1309,10,13800,17825,1013697,2962,19,469,1343,5,5,1036325,Coral,2,75,0.857507095781,0.907725212609,0.77033723,0.995370155936,0.5,0.5,TRA,9.6494825465e-06
1421,coral_TRA.rep.seq_sim_rl_100_cov_4_1_22.corrected.fastq.gz,run.coral.sh,22,2016,345,222,2,159,286,5,3030,5429,296511,624,10,420,531,4,2,303531,Coral,4,100,0.896910622832,0.850940438871,0.739798447051,0.994764915379,0.333333333333,0.666666666667,TRA,1.97673384267e-05
1422,coral_TRA.rep.seq_sim_rl_100_cov_8_1_22.corrected.fastq.gz,run.coral.sh,22,545,173,624,0,63,25,0,1430,2000,139937,951,2,107,37,0,0,143034,Coral,8,100,0.677736360556,0.932835820896,0.628939342596,0.992330494847,,,TRA,0.0
