,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
1174,sga_t1_wgsim_rl__cov_4.1_12.corrected.fastq.gz,run.sga.sh,12,19,26428,16625,18,3607,3,1,46700,48,4642279,23105,29,4532,9,5,0,4670007,Sga,4X,100,0.00207316546452,0.0104597951623,-0.194056925668,0.994072814024,T1,1.07066220672e-06,0.0
1175,reckoner_t1_wgsim_rl__cov_16.1_28.corrected.fastq.gz,run.reckoner.sh,28,1496,27077,16086,8,1668,365,169,46700,2543,4635917,20731,93,9348,2236,505,2,4671375,Reckoner,16X,100,0.109263555899,0.180009910101,-0.388459224886,0.992954319854,T1,0.00010853335474,0.0039603960396
1176,reckoner_t1_wgsim_rl__cov_32.1_23.corrected.fastq.gz,run.reckoner.sh,23,15535,28255,2315,31,439,125,37,46700,20059,4643092,3281,59,2840,1185,163,1,4670680,Reckoner,32X,100,0.85942587832,0.832876598572,0.686975149957,0.998388242909,T1,3.5112660255e-05,0.00613496932515
1177,pollux_t1_wgsim_rl__cov_32.1_23.corrected.fastq.gz,run.pollux.sh,23,11388,24679,4292,34,3286,3021,41,46700,16942,4619880,6184,263,22875,9190,110,3,4675447,Pollux,32X,100,0.732595347228,0.34570571551,-0.653939289112,0.991739394162,T1,2.41688120943e-05,0.0272727272727
1178,sga_t1_wgsim_rl__cov_4.1_14.corrected.fastq.gz,run.sga.sh,14,454,19934,12265,58,13948,41,16,46700,1198,4601462,21617,367,45289,109,26,0,4670068,Sga,4X,100,0.0525093140478,0.0257103614044,-1.93732193732,0.985565948933,T1,5.56737075349e-06,0.0
1179,reckoner_t1_wgsim_rl__cov_4.1_32.corrected.fastq.gz,run.reckoner.sh,32,145,27397,17660,2,1284,212,116,46700,575,4640507,22568,39,5648,1021,309,0,4670667,Reckoner,4X,100,0.0248455256449,0.0793760353396,-0.263319362226,0.993665786921,T1,6.61575744963e-05,0.0
1180,sga_t1_wgsim_rl__cov_2.1_18.corrected.fastq.gz,run.sga.sh,18,267,27054,17450,5,1900,24,7,46700,837,4641097,22460,28,5548,52,8,0,4670030,Sga,2X,100,0.0359273726231,0.130029516856,-0.204446924497,0.993983764558,T1,1.71305109389e-06,0.0
1181,sga_t1_wgsim_rl__cov_1.1_19.corrected.fastq.gz,run.sga.sh,19,125,27094,17876,1,1587,17,10,46700,625,4641731,22885,21,4709,41,17,0,4670029,Sga,1X,100,0.0265844321565,0.116279069767,-0.175457252233,0.994074340866,T1,3.64023435401e-06,0.0
1182,sga_t1_wgsim_rl__cov_4.1_18.corrected.fastq.gz,run.sga.sh,18,782,26982,16748,8,2132,48,20,46700,1458,4640575,21670,54,6168,119,33,0,4670077,Sga,4X,100,0.0630404704255,0.188250484183,-0.208794534763,0.993994959826,T1,7.06626464617e-06,0.0
1183,sga_t1_wgsim_rl__cov_4.1_16.corrected.fastq.gz,run.sga.sh,16,768,26279,16359,14,3224,56,26,46700,1524,4635987,21566,92,10733,156,43,0,4670101,Sga,4X,100,0.0660025985275,0.122774510594,-0.405586834127,0.993021564202,T1,9.20750964487e-06,0.0
