,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
831,reckoner_SRR1543967_raw_19.corrected.fastq.gz,run.reckoner.sh,19,1247,41751,3551,4,65,82,25,46700,2718,11101351,5689,57,3772,1914,126,0,11115627,Reckoner,NA,100,0.32330201023,0.323417420276,-0.353039134055,0.998960202605,RSR,1.13353929562e-05,0.0
832,reckoner_SRR1543967_raw_21.corrected.fastq.gz,run.reckoner.sh,21,1293,41751,3508,6,64,78,25,46700,2822,11101323,5585,53,3867,1774,134,4,11115562,Reckoner,NA,100,0.335672653741,0.333451494742,-0.335315808255,0.99897324093,RSR,1.24150267886e-05,0.0298507462687
833,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,19,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.904486626402,0.265971482214,-1.59171699741,0.997832940825,RSR,3.99711755565e-05,0.0
834,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,14,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.904486626402,0.265971482214,-1.59171699741,0.997832940825,RSR,3.99711755565e-05,0.0
835,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,18,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.904486626402,0.265971482214,-1.59171699741,0.997832940825,RSR,3.99711755565e-05,0.0
836,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,28,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.904486626402,0.265971482214,-1.59171699741,0.997832940825,RSR,3.99711755565e-05,0.0
837,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,22,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.904486626402,0.265971482214,-1.59171699741,0.997832940825,RSR,3.99711755565e-05,0.0
838,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,16,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.904486626402,0.265971482214,-1.59171699741,0.997832940825,RSR,3.99711755565e-05,0.0
839,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,21,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.904486626402,0.265971482214,-1.59171699741,0.997832940825,RSR,3.99711755565e-05,0.0
840,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,26,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.904486626402,0.265971482214,-1.59171699741,0.997832940825,RSR,3.99711755565e-05,0.0
841,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,23,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.904486626402,0.265971482214,-1.59171699741,0.997832940825,RSR,3.99711755565e-05,0.0
842,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,20,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.904486626402,0.265971482214,-1.59171699741,0.997832940825,RSR,3.99711755565e-05,0.0
843,racer_SRR1543970_raw_405000.corrected.fastq.gz,run.racer.sh,24,5613,52308,648,1,266,636,63,59472,10483,14119035,1107,82,17810,11121,566,0,14160204,Racer,NA,50L,0.904486626402,0.265971482214,-1.59171699741,0.997832940825,RSR,3.99711755565e-05,0.0
844,reckoner_SRR1543971_raw_16.corrected.fastq.gz,run.reckoner.sh,16,1897,41791,2871,7,51,83,26,46700,3629,11101886,4464,122,3484,1913,137,4,11115639,Reckoner,NA,100,0.448412208081,0.402060713494,-0.218460397875,0.999089570681,RSR,1.26848308046e-05,0.029197080292
845,reckoner_SRR1543971_raw_28.corrected.fastq.gz,run.reckoner.sh,28,2031,41792,2799,10,24,44,9,46700,3634,11104055,4506,83,1853,911,54,0,11115096,Reckoner,NA,100,0.446437346437,0.567989996874,0.10687960688,0.999333608994,RSR,4.85825763448e-06,0.0
846,reckoner_SRR1543971_raw_14.corrected.fastq.gz,run.reckoner.sh,14,1800,41790,2920,7,77,106,23,46700,3460,11100270,4608,140,4804,2461,197,11,11115951,Reckoner,NA,100,0.428854734755,0.322610722611,-0.471616261775,0.998901577374,RSR,1.87118493056e-05,0.0558375634518
847,reckoner_SRR1543971_raw_18.corrected.fastq.gz,run.reckoner.sh,18,1951,41792,2848,6,41,62,18,46700,3602,11102828,4526,86,2766,1473,123,5,11115409,Reckoner,NA,100,0.443159448819,0.459380181099,-0.0783710629921,0.999192651927,RSR,1.15155456718e-05,0.0406504065041
848,reckoner_SRR1543971_raw_21.corrected.fastq.gz,run.reckoner.sh,21,2008,41792,2820,4,26,50,18,46700,3668,11103734,4470,75,2022,1175,101,6,11115251,Reckoner,NA,100,0.450724993856,0.534304442826,0.0578766281642,0.999294392521,RSR,9.62641329467e-06,0.0594059405941
849,reckoner_SRR1543971_raw_26.corrected.fastq.gz,run.reckoner.sh,26,2031,41792,2797,6,29,45,16,46700,3684,11103747,4445,91,1978,1251,83,3,11115282,Reckoner,NA,100,0.453192274573,0.532909012006,0.0559724443351,0.999293944848,RSR,7.73709564904e-06,0.0361445783133
850,reckoner_SRR1543971_raw_20.corrected.fastq.gz,run.reckoner.sh,20,1989,41792,2835,5,32,47,15,46700,3676,11103789,4450,89,2017,1095,83,4,11115203,Reckoner,NA,100,0.452375092296,0.541543901002,0.0694068422348,0.999304195993,RSR,7.82711750744e-06,0.0481927710843
851,reckoner_SRR1543971_raw_22.corrected.fastq.gz,run.reckoner.sh,22,2025,41792,2807,6,24,46,16,46700,3711,11103915,4426,79,1868,1105,119,3,11115226,Reckoner,NA,100,0.45606488878,0.555206463196,0.0906968170087,0.999316522934,RSR,1.09759351722e-05,0.0252100840336
852,reckoner_SRR1543971_raw_24.corrected.fastq.gz,run.reckoner.sh,24,2027,41792,2806,6,23,46,13,46700,3677,11103746,4464,76,2076,1062,84,2,11115187,Reckoner,NA,100,0.451664414691,0.539545121056,0.0662080825451,0.99930167604,RSR,7.73716177695e-06,0.0238095238095
853,reckoner_SRR1543971_raw_19.corrected.fastq.gz,run.reckoner.sh,19,1972,41792,2838,5,40,53,15,46700,3627,11103225,4504,85,2437,1387,78,3,11115346,Reckoner,NA,100,0.446070594023,0.486780297947,-0.0242282622064,0.999236100946,RSR,7.287222548e-06,0.0384615384615
854,reckoner_SRR1543968_raw_22.corrected.fastq.gz,run.reckoner.sh,22,1260,41322,3974,6,38,100,31,46700,2949,11098910,6784,80,4710,2148,202,0,11115783,Reckoner,NA,100,0.302989828419,0.300703579076,-0.401623343265,0.998747366695,RSR,1.81723590682e-05,0.0
855,reckoner_SRR1543968_raw_14.corrected.fastq.gz,run.reckoner.sh,14,991,41321,4109,8,104,167,33,46700,2547,11094429,7090,172,8091,4391,187,4,11116911,Reckoner,NA,100,0.264293867386,0.16947235345,-1.03092248625,0.998207145207,RSR,1.71810316733e-05,0.0213903743316
856,reckoner_SRR1543971_raw_23.corrected.fastq.gz,run.reckoner.sh,23,2029,41792,2807,7,23,42,11,46700,3708,11104160,4437,71,1707,957,96,3,11115139,Reckoner,NA,100,0.455248618785,0.581920903955,0.12817679558,0.999346116863,RSR,8.90677120637e-06,0.03125
857,reckoner_SRR1543968_raw_18.corrected.fastq.gz,run.reckoner.sh,18,1136,41322,4081,7,59,95,31,46700,2762,11099208,6923,124,4398,2195,210,1,11115821,Reckoner,NA,100,0.285183273103,0.295243185462,-0.395560144553,0.998754028043,RSR,1.89819537396e-05,0.0047619047619
858,reckoner_SRR1543968_raw_28.corrected.fastq.gz,run.reckoner.sh,28,1400,41322,3859,8,28,83,31,46700,3034,11100591,6706,72,3244,1728,192,1,11115568,Reckoner,NA,100,0.311498973306,0.378965775668,-0.198973305955,0.998925650846,RSR,1.73630353393e-05,0.00520833333333
859,reckoner_SRR1543969_raw_20.corrected.fastq.gz,run.reckoner.sh,20,1323,40226,4945,7,58,141,52,46700,3788,11093457,9348,165,6246,2851,359,19,11116233,Reckoner,NA,100,0.288367844093,0.293985254172,-0.404156516443,0.998293573693,RSR,3.40043250263e-05,0.0529247910864
860,reckoner_SRR1543969_raw_28.corrected.fastq.gz,run.reckoner.sh,28,1491,40226,4833,8,31,111,38,46700,3835,11096290,9359,109,3815,2181,220,17,11115826,Reckoner,NA,100,0.290662422313,0.390092564337,-0.163786569653,0.998589036569,RSR,2.13209526669e-05,0.0772727272727
861,reckoner_SRR1543968_raw_26.corrected.fastq.gz,run.reckoner.sh,26,1357,41322,3903,7,29,82,29,46700,2999,11100499,6744,69,3265,1868,201,1,11115646,Reckoner,NA,100,0.307810735913,0.368789965568,-0.219029046495,0.998907215911,RSR,1.8172583042e-05,0.00497512437811
