EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases
sga_t1_wgsim_rl__cov_1.1_28.corrected.fastq.gz,run.sga.sh,28,64,27528,18232,2,866,8,3,46700,370,4643737,23142,19,2721,17,5,0,4670011
sga_t1_wgsim_rl__cov_8.1_22.corrected.fastq.gz,run.sga.sh,22,2190,27186,15427,12,1848,37,17,46700,3214,4641821,19868,58,4980,94,24,0,4670059
sga_t1_wgsim_rl__cov_16.1_18.corrected.fastq.gz,run.sga.sh,18,7477,26567,9413,43,3141,59,23,46700,10259,4636515,12971,139,9997,197,45,0,4670123
sga_t1_wgsim_rl__cov_1.1_30.corrected.fastq.gz,run.sga.sh,30,53,27606,18296,2,735,8,2,46700,310,4644145,23203,18,2313,19,3,0,4670011
sga_t1_wgsim_rl__cov_2.1_28.corrected.fastq.gz,run.sga.sh,28,158,27559,17937,1,1028,17,10,46700,528,4643604,22784,13,3048,33,13,0,4670023
sga_t1_wgsim_rl__cov_16.1_19.corrected.fastq.gz,run.sga.sh,19,7696,27033,9650,36,2232,53,18,46700,10329,4640192,12945,95,6339,167,37,0,4670104
sga_t1_wgsim_rl__cov_4.1_24.corrected.fastq.gz,run.sga.sh,24,642,27363,17151,4,1514,26,7,46700,1214,4642570,21939,29,4213,61,10,0,4670036
sga_t1_wgsim_rl__cov_4.1_26.corrected.fastq.gz,run.sga.sh,26,610,27436,17268,6,1348,32,9,46700,1113,4642988,22037,32,3785,79,13,0,4670047
sga_t1_wgsim_rl__cov_8.1_21.corrected.fastq.gz,run.sga.sh,21,2266,27093,15301,14,1986,40,22,46700,3336,4641350,19747,57,5444,100,32,0,4670066
sga_t1_wgsim_rl__cov_1.1_32.corrected.fastq.gz,run.sga.sh,32,47,27684,18333,2,626,8,2,46700,287,4644423,23232,12,2036,18,3,0,4670011
sga_t1_wgsim_rl__cov_8.1_23.corrected.fastq.gz,run.sga.sh,23,2150,27252,15532,12,1717,37,17,46700,3125,4642238,19969,46,4562,97,23,0,4670060
sga_t1_wgsim_rl__cov_2.1_30.corrected.fastq.gz,run.sga.sh,30,142,27636,17991,1,914,16,10,46700,468,4643976,22844,13,2676,33,13,0,4670023
sga_t1_wgsim_rl__cov_8.1_24.corrected.fastq.gz,run.sga.sh,24,2075,27299,15633,11,1655,27,15,46700,3022,4642448,20074,44,4371,61,21,0,4670041
sga_t1_wgsim_rl__cov_4.1_28.corrected.fastq.gz,run.sga.sh,28,550,27526,17381,4,1215,24,11,46700,1044,4643450,22111,27,3334,53,15,0,4670034
sga_t1_wgsim_rl__cov_32.1_14.corrected.fastq.gz,run.sga.sh,14,776,28148,15506,29,2240,1,1,46700,1190,4643679,22167,43,2917,4,4,0,4670004
sga_t1_wgsim_rl__cov_2.1_32.corrected.fastq.gz,run.sga.sh,32,134,27709,18029,0,816,12,9,46700,437,4644251,22877,11,2408,19,13,0,4670016
sga_t1_wgsim_rl__cov_8.1_26.corrected.fastq.gz,run.sga.sh,26,1942,27356,15839,4,1537,22,11,46700,2842,4642900,20257,41,3932,42,16,0,4670030
pollux_t1_wgsim_rl__cov_32.1_18.corrected.fastq.gz,run.pollux.sh,18,9821,23927,5255,46,3487,4164,66,46700,15273,4611061,7793,334,29695,16370,179,0,4680705
reckoner_t1_wgsim_rl__cov_32.1_30.corrected.fastq.gz,run.reckoner.sh,30,15137,28228,2893,14,351,77,24,46700,19562,4644237,3797,41,1997,650,89,0,4670373
sga_t1_wgsim_rl__cov_16.1_22.corrected.fastq.gz,run.sga.sh,22,7529,27392,10117,16,1604,42,16,46700,9916,4642617,13404,49,3942,108,38,0,4670074
sga_t1_wgsim_rl__cov_4.1_30.corrected.fastq.gz,run.sga.sh,30,503,27654,17472,2,1055,14,6,46700,953,4643963,22204,25,2835,30,10,0,4670020
sga_t1_wgsim_rl__cov_16.1_23.corrected.fastq.gz,run.sga.sh,23,7401,27412,10275,16,1564,32,11,46700,9722,4642783,13596,51,3792,93,21,0,4670058
sga_t1_wgsim_rl__cov_4.1_32.corrected.fastq.gz,run.sga.sh,32,449,27723,17575,1,936,16,8,46700,846,4644210,22312,24,2583,35,15,0,4670025
sga_t1_wgsim_rl__cov_32.1_16.corrected.fastq.gz,run.sga.sh,16,7526,27834,8025,42,3248,25,13,46700,10555,4639702,12714,131,6844,82,28,0,4670056
sga_t1_wgsim_rl__cov_8.1_32.corrected.fastq.gz,run.sga.sh,32,1545,27605,16373,5,1151,21,8,46700,2265,4643782,20843,32,3044,54,14,0,4670034
sga_t1_wgsim_rl__cov_16.1_21.corrected.fastq.gz,run.sga.sh,21,7657,27335,9936,18,1705,49,20,46700,10112,4642349,13197,60,4195,131,45,0,4670089
sga_t1_wgsim_rl__cov_8.1_30.corrected.fastq.gz,run.sga.sh,30,1683,27539,16178,7,1272,21,9,46700,2475,4643506,20625,40,3320,54,16,0,4670036
sga_t1_wgsim_rl__cov_8.1_28.corrected.fastq.gz,run.sga.sh,28,1803,27439,16012,6,1422,18,9,46700,2643,4643121,20459,38,3708,49,14,0,4670032
sga_t1_wgsim_rl__cov_16.1_24.corrected.fastq.gz,run.sga.sh,24,7273,27428,10454,14,1501,30,11,46700,9489,4642997,13832,48,3579,87,24,0,4670056
sga_t1_wgsim_rl__cov_16.1_28.corrected.fastq.gz,run.sga.sh,28,6639,27536,11173,11,1310,31,13,46700,8617,4643520,14725,27,3054,89,26,0,4670058
sga_t1_wgsim_rl__cov_32.1_18.corrected.fastq.gz,run.sga.sh,18,13063,28017,4086,25,1482,27,16,46700,17258,4642893,6065,77,3652,82,30,0,4670057
