EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases
fiona_SRR1543968_raw_405000.corrected.fastq.gz,run.fiona.sh,16,4170,39543,753,139,685,1410,0,46700,8288,11098783,1368,156,4442,2963,0,0,11116000
coral_t1_wgsim_rl__cov_8.1_28.corrected.fastq.gz,run.coral.sh,28,4794,27815,13202,2,741,146,4,46700,6754,4645293,16370,14,1517,221,2,2,4670173
fiona_SRR1543964_raw_405000.corrected.fastq.gz,run.fiona.sh,26,4391,36708,1490,230,1192,2689,5,46700,10485,11091182,2759,270,7479,5686,7,0,11117868
coral_t1_wgsim_rl__cov_16.1_24.corrected.fastq.gz,run.coral.sh,24,11282,27525,6587,3,1079,224,6,46700,15364,4644705,7991,12,1877,304,4,2,4670259
coral_t1_wgsim_rl__cov_32.1_12.corrected.fastq.gz,run.coral.sh,12,0,28336,18364,0,0,0,0,46700,0,4646600,23400,0,0,0,0,0,4670000
fiona_SRR1543966_raw_405000.corrected.fastq.gz,run.fiona.sh,18,3930,40381,704,124,537,1024,2,46700,7300,11101471,1090,150,3553,1944,2,0,11115510
coral_t1_wgsim_rl__cov_4.1_30.corrected.fastq.gz,run.coral.sh,30,1471,28020,16635,3,505,66,1,46700,2232,4645800,20944,6,988,103,1,0,4670074
fiona_SRR1543964_raw_405000.corrected.fastq.gz,run.fiona.sh,23,4391,36708,1490,230,1192,2689,5,46700,10485,11091182,2759,270,7479,5686,7,0,11117868
fiona_SRR1543966_raw_405000.corrected.fastq.gz,run.fiona.sh,24,3930,40381,704,124,537,1024,2,46700,7300,11101471,1090,150,3553,1944,2,0,11115510
coral_t1_wgsim_rl__cov_32.1_19.corrected.fastq.gz,run.coral.sh,19,14568,27554,3217,7,1059,295,4,46700,19369,4644941,4011,18,1635,378,2,2,4670356
fiona_SRR1543966_raw_405000.corrected.fastq.gz,run.fiona.sh,22,3930,40381,704,124,537,1024,2,46700,7300,11101471,1090,150,3553,1944,2,0,11115510
fiona_SRR1543966_raw_405000.corrected.fastq.gz,run.fiona.sh,19,3930,40381,704,124,537,1024,2,46700,7300,11101471,1090,150,3553,1944,2,0,11115510
lighter_t1_wgsim_rl__cov_1.1_14.corrected.fastq.gz,run.lighter.sh,14,0,28115,18585,0,0,0,0,46700,0,4646469,23531,0,0,0,0,0,4670000
lighter_t1_wgsim_rl__cov_1.1_12.corrected.fastq.gz,run.lighter.sh,12,0,28115,18585,0,0,0,0,46700,0,4646469,23531,0,0,0,0,0,4670000
fiona_SRR1543966_raw_405000.corrected.fastq.gz,run.fiona.sh,23,3930,40381,704,124,537,1024,2,46700,7300,11101471,1090,150,3553,1944,2,0,11115510
coral_t1_wgsim_rl__cov_8.1_30.corrected.fastq.gz,run.coral.sh,30,4667,27788,13318,1,774,152,5,46700,6563,4645267,16563,12,1552,211,3,2,4670173
lighter_t1_wgsim_rl__cov_2.1_12.corrected.fastq.gz,run.lighter.sh,12,0,28281,18419,0,0,0,0,46700,0,4646675,23325,0,0,0,0,0,4670000
fiona_SRR1543966_raw_405000.corrected.fastq.gz,run.fiona.sh,20,3930,40381,704,124,537,1024,2,46700,7300,11101471,1090,150,3553,1944,2,0,11115510
lighter_t1_wgsim_rl__cov_1.1_16.corrected.fastq.gz,run.lighter.sh,16,0,28115,18585,0,0,0,0,46700,0,4646469,23531,0,0,0,0,0,4670000
coral_t1_wgsim_rl__cov_16.1_28.corrected.fastq.gz,run.coral.sh,28,11299,27440,6521,6,1188,246,3,46700,15394,4644492,7959,15,2095,340,2,1,4670298
lighter_t1_wgsim_rl__cov_2.1_14.corrected.fastq.gz,run.lighter.sh,14,0,28281,18419,0,0,0,0,46700,0,4646675,23325,0,0,0,0,0,4670000
coral_t1_wgsim_rl__cov_32.1_20.corrected.fastq.gz,run.coral.sh,20,14808,27491,2954,6,1123,318,5,46700,19695,4644850,3687,15,1730,405,2,3,4670387
fiona_SRR1543966_raw_405000.corrected.fastq.gz,run.fiona.sh,21,3930,40381,704,124,537,1024,2,46700,7300,11101471,1090,150,3553,1944,2,0,11115510
lighter_t1_wgsim_rl__cov_4.1_12.corrected.fastq.gz,run.lighter.sh,12,0,28383,18317,0,0,0,0,46700,0,4646818,23182,0,0,0,0,0,4670000
lighter_t1_wgsim_rl__cov_2.1_16.corrected.fastq.gz,run.lighter.sh,16,0,28281,18419,0,0,0,0,46700,0,4646675,23325,0,0,0,0,0,4670000
lighter_t1_wgsim_rl__cov_1.1_18.corrected.fastq.gz,run.lighter.sh,18,0,28115,18585,0,0,0,0,46700,0,4646469,23531,0,0,0,0,0,4670000
lighter_t1_wgsim_rl__cov_4.1_14.corrected.fastq.gz,run.lighter.sh,14,0,28383,18317,0,0,0,0,46700,0,4646818,23182,0,0,0,0,0,4670000
coral_t1_wgsim_rl__cov_16.1_26.corrected.fastq.gz,run.coral.sh,26,11335,27477,6518,4,1138,228,5,46700,15440,4644603,7918,9,1980,331,3,2,4670286
coral_t1_wgsim_rl__cov_32.1_16.corrected.fastq.gz,run.coral.sh,16,7963,28114,10213,2,283,125,2,46700,10544,4646196,12852,3,396,152,1,1,4670145
lighter_t1_wgsim_rl__cov_2.1_18.corrected.fastq.gz,run.lighter.sh,18,0,28281,18419,0,0,0,0,46700,0,4646675,23325,0,0,0,0,0,4670000
fiona_SRR1543964_raw_405000.corrected.fastq.gz,run.fiona.sh,14,4391,36708,1490,230,1192,2689,5,46700,10485,11091182,2759,270,7479,5686,7,0,11117868
coral_t1_wgsim_rl__cov_32.1_21.corrected.fastq.gz,run.coral.sh,21,15038,27454,2694,6,1192,316,3,46700,20018,4644692,3365,15,1881,409,1,2,4670383
lighter_t1_wgsim_rl__cov_4.1_18.corrected.fastq.gz,run.lighter.sh,18,0,28383,18317,0,0,0,0,46700,0,4646818,23182,0,0,0,0,0,4670000
coral_t1_wgsim_rl__cov_32.1_22.corrected.fastq.gz,run.coral.sh,22,15255,27423,2437,5,1268,312,2,46700,20351,4644596,3033,15,1972,406,1,1,4670375
lighter_t1_wgsim_rl__cov_4.1_16.corrected.fastq.gz,run.lighter.sh,16,0,28383,18317,0,0,0,0,46700,0,4646818,23182,0,0,0,0,0,4670000
lighter_t1_wgsim_rl__cov_1.1_19.corrected.fastq.gz,run.lighter.sh,19,0,28115,18585,0,0,0,0,46700,0,4646469,23531,0,0,0,0,0,4670000
lighter_t1_wgsim_rl__cov_8.1_16.corrected.fastq.gz,run.lighter.sh,16,0,28346,18354,0,0,0,0,46700,0,4646860,23140,0,0,0,0,0,4670000
fiona_SRR1543964_raw_405000.corrected.fastq.gz,run.fiona.sh,20,4391,36708,1490,230,1192,2689,5,46700,10485,11091182,2759,270,7479,5686,7,0,11117868
lighter_t1_wgsim_rl__cov_1.1_20.corrected.fastq.gz,run.lighter.sh,20,0,28115,18585,0,0,0,0,46700,0,4646469,23531,0,0,0,0,0,4670000
lighter_t1_wgsim_rl__cov_8.1_12.corrected.fastq.gz,run.lighter.sh,12,398,14885,8238,80,23099,0,0,46700,979,4598168,21868,293,48692,0,0,0,4670000
lighter_t1_wgsim_rl__cov_2.1_19.corrected.fastq.gz,run.lighter.sh,19,0,28281,18419,0,0,0,0,46700,0,4646675,23325,0,0,0,0,0,4670000
coral_t1_wgsim_rl__cov_16.1_30.corrected.fastq.gz,run.coral.sh,30,11206,27451,6618,7,1170,248,5,46700,15227,4644416,8126,15,2162,342,6,1,4670295
